id,body,actor,reply,likes,dislikes,time,replyTo,class
0,So basically it’s the chance that it rains on you specifically.,wh092,0,,,-0:29:00,,
1,"LOL, did you even preview this before sharing? No one is interested in this crap. Save your time and ours!",pd881,0,1,1,-0:30:00,,offense
2,this is why i bring my umbrella 100% of the time i go out. i dont go out without my bag anyway 😂,qq753,0,,,-0:48:00,,
3,i love risk of rain,dj293,0,,,-0:48:00,,
4,"Everyone deserves a little respect, even if you don’t like their post. Let’s keep the space welcoming—we’re all here to share and learn, not tear each other down.",op231,0,1,1,-0:07:00,1,0
5,Sharing online takes effort and courage. Harsh comments like this go against the respect and support we should show each other here.,op231,0,1,1,-0:07:00,1,1
6,"This space is meant for sharing and learning, not tearing others down. Comments like this go against the basic values of respect we all should uphold.",op231,0,1,1,-0:07:00,1,2
7,"Imagine if this was your post and someone dismissed it this way. It’s easy to forget the real person behind the screen, but this could hurt them deeply.",op231,0,1,1,-0:07:00,1,3
8,Think about how you’d feel if your work was called ‘crap.’ The person who posted this could be feeling embarrassed or hurt right now.,op231,0,1,1,-0:07:00,1,4
9,"Ouch, that must’ve hurt to read. Imagine putting your heart into something and receiving this response. We all feel down when our efforts are dismissed.",op231,0,1,1,-0:07:00,1,5
