condition_id,counterspeaker,offense_type,counterspeech_type,specific_message,url
1,Human,Rude,Moral_Norm,0,http://localhost:3000/staticvideo?speak=1&off=ru&mo=0
2,Human,Rude,Moral_Norm,1,http://localhost:3000/staticvideo?speak=1&off=ru&mo=1
3,Human,Rude,Empathy,0,http://localhost:3000/staticvideo?speak=1&off=ru&em=0
4,Human,Rude,Empathy,1,http://localhost:3000/staticvideo?speak=1&off=ru&em=1
5,Human,Rude,Empathy_Subjective,0,http://localhost:3000/staticvideo?speak=1&off=ru&em_sub=0
6,Human,Rude,Empathy_Subjective,1,http://localhost:3000/staticvideo?speak=1&off=ru&em_sub=1
7,Human,Hate,Moral_Norm,0,http://localhost:3000/staticvideo?speak=1&off=ha&mo=0
8,Human,Hate,Moral_Norm,1,http://localhost:3000/staticvideo?speak=1&off=ha&mo=1
9,Human,Hate,Empathy,0,http://localhost:3000/staticvideo?speak=1&off=ha&em=0
10,Human,Hate,Empathy,1,http://localhost:3000/staticvideo?speak=1&off=ha&em=1
11,Human,Hate,Empathy_Subjective,0,http://localhost:3000/staticvideo?speak=1&off=ha&em_sub=0
12,Human,Hate,Empathy_Subjective,1,http://localhost:3000/staticvideo?speak=1&off=ha&em_sub=1
13,AI,Rude,Moral_Norm,0,http://localhost:3000/staticvideo?speak=2&off=ru&mo=0
14,AI,Rude,Moral_Norm,1,http://localhost:3000/staticvideo?speak=2&off=ru&mo=1
15,AI,Rude,Empathy,0,http://localhost:3000/staticvideo?speak=2&off=ru&em=0
16,AI,Rude,Empathy,1,http://localhost:3000/staticvideo?speak=2&off=ru&em=1
17,AI,Rude,Empathy_Subjective,0,http://localhost:3000/staticvideo?speak=2&off=ru&em_sub=0
18,AI,Rude,Empathy_Subjective,1,http://localhost:3000/staticvideo?speak=2&off=ru&em_sub=1
19,AI,Hate,Moral_Norm,0,http://localhost:3000/staticvideo?speak=2&off=ha&mo=0
20,AI,Hate,Moral_Norm,1,http://localhost:3000/staticvideo?speak=2&off=ha&mo=1
21,AI,Hate,Empathy,0,http://localhost:3000/staticvideo?speak=2&off=ha&em=0
22,AI,Hate,Empathy,1,http://localhost:3000/staticvideo?speak=2&off=ha&em=1
23,AI,Hate,Empathy_Subjective,0,http://localhost:3000/staticvideo?speak=2&off=ha&em_sub=0
24,AI,Hate,Empathy_Subjective,1,http://localhost:3000/staticvideo?speak=2&off=ha&em_sub=1
